Name,Wikidata Identifier,Wikipedia Article,Gender,Year of Birth,Year of Death,Place of Birth,Place of Death
Dirck Helmbreker,Q576572,"Dirck Helmbreeker - vele naamvarianten komen voor (Haarlem, 1633 - Rome, 1696) was een Nederlands kunstschilder en tekenaar uit de periode van de Gouden Eeuw. Hij vervaardigde portretten en (italianiserende) landschappen.  Helmbreeker was een zoon van Cornelis Helmbreecker, componist, klokkenist en organist van de Haarlemse Grote of Sint-Bavokerk. Hij leerde het schildersvak bij Pieter de Grebber. In 1652 werd hij lid van het plaatselijke Sint-Lucasgilde. Kort daarop reisde hij met Cornelis Bega en enkele andere vakgenoten naar Italië. Hij bezocht er steden als Venetië, Turijn, Florence en Napels, maar vestigde zich rond 1659 in Rome. Hier sloot hij zich aan bij de Bentvueghels.  Vanaf 1678 was hij enige jaren in Parijs, waar hij onder meer samenwerkte met Frederik de Moucheron. Na drie jaar keerde hij terug naar Italië.  Het werk van de schilder was geliefd in Rome en verzamelaars betaalden er grote sommen geld voor. Houbraken vermeldt dat Helmbreeker een godvruchtig man was, die veel van zijn geld aan de armen van Rome schonk.",male,1633,1696,Haarlem,Rome
Bartholomeus van der Helst,Q380704,"Bartholomeus van der Helst of Bartelt (Haarlem, 1613 - Amsterdam, begraven 16 december 1670) was een Nederlands kunstschilder uit de 17de eeuw. Hij schilderde voornamelijk portretten, maar ook groepsportretten van regenten en schutters. Buiten deze stukken zijn er slechts één historiestuk, één naakt en één stadsgezicht van hem bekend.  De wat lossere en gladdere stijl van Van der Helst kwam in het midden van de 17de eeuw in de mode en verdrong de meer psychologische van Rembrandt, zijn grote concurrent. Een aantal van Rembrandts leerlingen, zoals Ferdinand Bol en Govert Flinck, nam de gladde stijl van Van der Helst over.  Van der Helst werd geboren in Haarlem als zoon van een herbergier uit de Grote Houtstraat. Over zijn geboortedatum en leertijd is weinig bekend. Hij is vermoedelijk in 1636 naar Amsterdam verhuisd, waar hij op 4 mei met de 18-jarige Anna du Pire trouwde in de Nieuwe Kerk. Van der Helst was zeer waarschijnlijk een leerling van Nicolaes Eliasz. Pickenoy. Net als Rembrandt en Frans Hals is hij nooit in Italië geweest. Het vroegste werk van Van der Helst dateert uit 1637, een regentenstuk bestemd voor het Walenweeshuis.  Van der Helst is bekend als de toonaangevende portretschilder van de Amsterdamse elite, die door hem is afgebeeld in elegante en zelfbewuste posities. Van der Helst portretteerde Sophia Trip, Margaretha Trip, de admiralen Enno Doedes Star, Egbert Bartolomeusz Kortenaer, Johan de Liefde, Gideon de Wildt, Aert en Jan Jansse van Nes, de Amsterdamse burgemeesters Frans Banning Cocq en Andries Bicker, en de kooplieden Pieter van de Venne, de schoonzoon van Pieter de Carpentier, Daniël Bernard, Jan J. Hinlopen, zijn broer Jacob en hun neef Jacob F. Hinlopen, maar ook Mary Stuart. Allaert van Everdingen, Jacob van Ruisdael en Jan Hackaert zouden hem hebben geholpen bij het schilderen van de landschappen op de achtergrond; Ludolf Bakhuizen bij het schilderen van schepen. Van der Helst schilderde zijn vakbroeders Jan van Goyen en een postuum portret van Paulus Potter. Van der Helst is als portretschilder daarmee de belangrijkste concurrent van Rembrandt van Rijn.  Van der Helst was nauw betrokken bij de oprichting van een Amsterdamse kunstbroederschap, naast het Sint-Lucasgilde samen met Nicolaes de Helt Stockade en Johan Huydecoper van Maarsseveen. In 1653 en 1654 (?) zijn feesten gehouden in de Voetboogdoelen om de oprichting te vieren. Ook Artus Quellinus en Vondel waren aanwezig. Jan Vos maakte een gedicht:« Strijd tusschen de Doodt en Natuur of Zeege der Schilderkunst ». Waarschijnlijk droeg Thomas Asselijn zijn Broederschap der Schilderkunst voor en is het gedicht een jaar later uitgegeven.  Zijn vroege werk boeit door een ongelooflijke vaardigheid en vlotheid, een technisch kunnen en een frappante gelijkenis van de portretten. Hij lijkt zich een zo groot mogelijke helderheid en precisie ten doel gesteld te hebben. Wat zou ontbreken is een vonkje genialiteit of een moeizaam scheppingsproces.  Een hoogtepunt vormt zijn schuttersstuk De Schuttersmaaltijd Ter Viering Van De Vrede Van Münster uit 1648, een schilderij dat volgens Arnold Houbraken tot de belangrijkste schilderijen aller tijden behoort. De stijl doet sterk denken aan die van Frans Hals, die evenals hij uit Haarlem kwam, maar geen succes had en meer opzien baarde dan instemming en zich op dat moment in grote financiële moeilijkheden bevond. Het werk is bewonderd door Godfrey Kneller, Joshua Reynolds en William Thackery. Op dit schilderij wordt de viering van de Vrede van Münster getoond. Jacob Banning zit in het midden en Cornelis Jan Witsen met kapiteinshoed gelukwenst Johan van Waveren (1613-1670).  In de negentiende eeuw werd gedacht dat een deel van het doek was afgehaald; op kopieën (zoals een prent van Jacob Cats uit 1779) zijn de achterwand en het raam veel hoger, en is zelfs een stuk van het plafond zichtbaar. Dat klopt echter niet. We weten precies voor welke plek het schilderij is gemaakt: boven de schouw in de Oude Sael van de Handboogdoelen op het Singel waar een niet hoger schilderij dan dit kon hangen. Door het raam is nog wat van de bebouwing aan de overkant van de gracht te zien: een pand van Philip Vingboons, tegenwoordig bekend als Odeon.  Van der Helst schilderde in 1653 de regenten van de Voetboogdoelen. Dit werk bevindt zich nu in het Amsterdam Museum en een kopie ernaar is in het Louvre te zien. In 1655 schilderde hij een doelherenstuk voor de Kloveniersdoelen.  Eind december 1667 en begin 1668 bracht Cosimo III de' Medici een bezoek aan wel vijftien schilders in vier maanden tijd, waaronder Van der Helst, die een zelfportret leverde voor de portretgalerij in het Uffizi.  Van der Helst werd 16 december begraven in de Waalse kerk, op een steenworp afstand van zijn atelier op het Walenpleintje. Zijn weduwe bood in 1671 haar collectie van schilderijen van Frans Floris, Simon de Vos, Goltzius, Adriaen Brouwer, Pieter Lastman, Marcus Gerards de Jonge, Simon de Vlieger, Hendrik Gerritsz. Pot, Otto Marcelis, Willem van de Velde, etc. te koop aan.",male,1613,1670,Haarlem,Amsterdam
Jacob de Heusch,Q2114370,"Jacob de Heusch (gedoopt Utrecht, 23 november 1656 – Amsterdam, 8 mei 1701) was een Nederlandse kunstschilder.  De Heusch was een zoon van de Utrechtse postmeester Johannes de Heusch en diens vrouw Margrita Topas. Hij leerde de beginselen van het schildersvak van zijn oom Willem de Heusch. Hij trok rond 1675 naar Rome, waar hij zich volgens Houbraken aansloot bij de Bentvueghels. Na 1692 keerde hij terug naar Utrecht.  In De Heusch' werk zijn de invloeden van Salvator Rosa en zijn oom duidelijk merkbaar. Hij schilderde vedute, veelal havengezichten. Omdat hij geen eigen stijl had, maar deze vooral kopieerde, werd hij door de Bentgroep 'Afdruk' of 'Copia' genoemd. Tegenwoordig hangt zijn werk onder andere in de Hermitage.",male,1656,1701,Utrecht,Amsterdam
Willem de Heusch,Q2005598,"Willem de Heusch (Utrecht, ca. 1625 - begraven Utrecht, 9 maart 1692) was een Nederlandse kunstschilder en etser.  De Heusch trok al jong, rond 1640, naar de schildersgemeenschap in Italië. In elk geval in 1649 is hij terug in Utrecht, waar hij dan wordt vermeld als bestuurslid van het schildersgilde. Hij was leerling van Jan Both. In de jaren 60 van de 17e eeuw is hij een aantal malen deken van het gilde. De Heusch behoorde tot de Italianisanten, landschapsschilders waarbij een invloed van de heuvelachtige landschappen en het zonlicht in hun werk merkbaar is.  Naast schilder was De Heusch etser. Er zijn 12 gravures van hem bekend, hij signeerde deze met het monogram GDH (G = Guilliam of Guglielmo). De Heusch gaf ook les, onder anderen aan zijn neef Jacob de Heusch.",male,1625,1692,Utrecht,Utrecht
Jan van der Heyden,Q370567,"Jan van der Heyden (Gorinchem, 5 maart 1637 – Amsterdam, 28 maart 1712) was een Noord-Nederlands schilder, tekenaar, etser en uitvinder. Hij is vooral bekend vanwege zijn vele stadsgezichten en als uitvinder van een verbeterde brandspuit en straatlantaarn.  Jan van der Heyden kwam op 9-jarige leeftijd met zijn ouders naar Amsterdam, waar zijn vader zich liet inschrijven als graanhandelaar. In 1656 werd Van der Heyden in Amsterdam gedoopt; hij woonde toen op de Dam. Op 28 mei 1661 ging hij in ondertrouw met de Utrechtse Sara ter Hiel. Hij noemde zich op dat moment al schilder. In 1662 kwam zijn vroegst bekende werk tot stand, de familiewapens van hem en zijn vrouw (nu in het Amsterdam Museum). Als woon- en werkplaats kreeg hij van de stad de beschikking over de helft van de kapel van het voormalige Bethaniënklooster.  Van der Heyden schilderde voornamelijk stadsgezichten, vaak composities van verschillende stadsdelen, waarbij hij zijn kennis van andere steden gebruikte. Sommige stadsgezichten lijken wel puzzels, om ze een meer- of eeuwigheidswaarde te geven.  Opvallend is zijn beheersing van het perspectief. Ook de nauwkeurigheid — het fijne loof of de stenen muren, waarvan de voegen minutieus zijn bestudeerd, waarbij hij mogelijk gebruik maakte van stempels om sneller te kunnen werken — geven zijn werk een bijzondere waarde. De figuren in zijn composities zijn ingeschilderd door Adriaen van de Velde, Eglon van der Neer of Johannes Lingelbach. Van hem zijn daarnaast ook enkele interieurs bekend, waarop boeken, een atlas van Blaeu of globes staan afgebeeld.  Van der Heydens vrouw had familie in onder meer Emmerik en Wesel in Duitsland. In de jaren 60 maakte hij een reis door Duitsland, onder meer naar Emmerik en Wesel. Er zijn stadsgezichten van Van der Heyden bekend van Keulen, Bonn, Düsseldorf, Elten, Xanten, Aken en Kleef. Ook bezocht hij verschillende plaatsen in de Noordelijke en Zuidelijke Nederlanden, waaronder Veere en Brussel  In 1667 kreeg Jan van der Heyden bezoek van Cosimo III de' Medici, die een van zijn merkwaardigste werken aankocht, met een ""mislukt"" perspectief dat in Florence is te zien. In 1670 werd hij benoemd tot opzichter van de Amsterdamse straatverlichting. Hij overleed op 28 maart 1712 in zijn huis aan de Koestraat bij de Nieuwmarkt in Amsterdam. Op 16 april overleed zijn weduwe. In hun huis bevonden zich op dat moment meer dan 70 schilderijen van Van der Heyden.  Jan van der Heyden had het voordeel dat hij een zekere beroepsmatige flexibiliteit had. Terwijl zijn beroepsgenoten mooie schilderijen maakten — en geen droog brood verdienden — combineerde hij het schilderen met een studie van de werktuigbouwkunde. Hij ontwierp een betere straatverlichting (1669) voor de stad Amsterdam. Er zijn ruim 1800 lantaarns geplaatst. Het initiatief is ook in andere steden nagevolgd, o.a. in Haarlem en Groningen. In 1673 ontving Jan van der Heyden 93 gulden van het stadsbestuur van Den Haag voor het ontwerpen van de eerste Haagse straatlantaarn. In 1679 publiceerde hij 't Licht der Lamp Lantaarens ontsteken door Jan van der Heijde, Inventeur derselve en opsigter der Stads Lantaarns van Amsterdam. In 1682 werden 1600 straatlantaarns in Berlijn geplaatst.  De Jan van der Heyden-lantaarn was een koperen lantaarn van bijna zestig centimeter hoog, voorzien van vier ruiten, waarvan er een als deurtje was uitgevoerd om de lantaarn te kunnen schoonmaken. In het deurtje was een luikje aangebracht om de lantaarn te ontsteken. Bovenop zat een schoorsteentje (een 'snuiver'). De lantaarn was geplaatst op een vierkante eikenhouten paal van twaalf voet lang (ruim drie meter) en zes duim dik (vijftien cm) of op een houten wandarm met ongeveer een meter uitslag. Als brandstof gebruikte men een mengsel van raap- en lijnolie. Voor onderhoud en bediening werden speciale lantaarnopstekers aangesteld. Zij moesten een eed afleggen waarin zij beloofden de instructies na te komen en de overgebleven olie terug te bezorgen. In de Hollandse Wijk in Potsdam, maar ook op diverse plaatsen in Amsterdam, staan nog replica's van het model van Jan van der Heyden, onder andere op de Magere Brug, het Amstelveld (Amstelkerk) en het woonhuis van Jan van der Heyden in de Koestraat.  Jan van der Heyden verbeterde de brandweerpomp reeds in 1672. Hij demonstreerde zijn uitvinding bij het stadhuis en vanaf de Westertoren in Amsterdam. Hij publiceerde daarover samen met zijn broer in 1677 Bericht Wegens de Nieuw geïnventeerde En Geoctroyeerde Slangbrandspuiten: Uitgevonden door Jan en Nicolaes van der Heyden. In 1690 maakte hij samen met zijn zoon Jan een lijviger boek, dat rijk geïllustreerd werd door de uitvinder zelf. Het boek is opgedragen aan Nicolaes Witsen. De burgemeesters waren onder de indruk en in elk van de zestig wijken werd een nieuwe spuit opgesteld. Jan van der Heyden kreeg in 1697 bezoek van Peter de Grote, die tevergeefs probeerde hem over te halen mee te gaan naar Rusland. De uitvinder verkocht hem wel een aantal brandspuiten à 385 gulden per stuk.  Op het IJ waren sinds 1676 voor de bescherming van schepen, nog vijf schouwen gelegd, op elk waarvan twee spuiten geplaatst waren. Deze spuiten werden bediend door het schuitenvoerdersgilde. Ook ontwierp Van der Heyden een soort aanjager voor het oppompen van water uit de gracht. De pompen werden bediend door de mannelijke leden van het turf- en het bierdragersgilde, maar ook door weesjongens. In 1682 liet hij een compleet nieuwe brandweerorganisatie invoeren. In alle 60 wijken van Amsterdam werden brandspuiten geplaatst, die werden bediend door aangewezen gildebroeders (geaffecteerden) en vrijwilligers uit de buurt. Elke spuit kreeg een vast aantal functionarissen en een à twee keer per jaar werd er verplicht geoefend onder toezicht van de generaal-brandmeester. De eerste functionaris met die titel was Jan van der Heyden zelf. Omstreeks 1780 werden de leren slangen vervangen door de geweven hennepslangen.  Van der Heyden was een veelzijdig mens. Hij ontwierp en bouwde of werkte mee aan baggermolens, schepraderen, kachels, de scheepskameel, waterbeheersing en dijkonderhoud en plaatste in 1702 baaklantaarns, die waren voorzien van olielampen, op de in 1700 gebouwde toren van Vuurtoreneiland in de Zuiderzee.  Van der Heyden woonde en werkte dertig jaar lang in de Koestraat, in de voormalige Latijnse school, die hij in 1681 ter beschikking kreeg. Hij was opzichter van de stadslantaarns en generaal-brandmeester en stierf als een bemiddeld man. Hij was een tijdgenoot van Gerrit Berckheyde, Meindert Hobbema en Jacob van Ruisdael.  In de Amsterdamse wijk De Pijp zijn twee straten naar hem vernoemd, alsook in diverse Nederlandse dorpen en steden als Tilburg, Den Haag, Schoonhoven, Hilversum en Gorinchem. In de gevel van het pand aan Koestraat 5 in Amsterdam, waar ooit zijn fabriek met woning stond, is in 1912 een gevelsteen met een buste van Jan van der Heyden geplaatst. Ook in de gevel van het Stedelijk Museum Amsterdam staat een standbeeld van Jan van der Heyden (gemaakt door Corrie Demmink) dat een model van een brandspuit in zijn hand houdt en in het brandweermuseum in Hellevoetsluis bevindt zich een buste, die in 1922 oorspronkelijk in het centrum van Rotterdam werd onthuld.  De naam 'Jan van der Heijden' wordt op verschillende manieren gespeld. Ook Jan zelf was niet consequent in zijn lettergebruik. Er zijn documenten en handtekeningen met 'Heyde', 'Heyden', 'Heijde', 'Heijden', 'Heide' en 'Heiden' bekend. Bij het vaststellen van de straatnaam in Amsterdam heeft een commissie van wijze wetenschappers geadviseerd de spelling 'Van der Heijden' aan te houden. Daarom was 2012 bij de brandweer in Gorinchem en in Amsterdam-Amstelland het 'Jan van der Heijdenjaar'. In dat jaar werd namelijk zijn 300ste sterfdag herdacht. Voor de brandweer is het zelfs het begin van een nieuwe weg van brandbestrijding, in navolging van de grote innovator Jan van der Heijden. Nieuwe wegen en methoden om branden te blussen en liever nog te voorkomen worden ingeslagen, waarbij de verantwoordelijkheid voor de eigen veiligheid van burgers en bedrijven weer onder de aandacht wordt gebracht. Er waren in 2012 diverse publicaties en activiteiten rond Jan van der Heijden. Vooral Amsterdam-Amstelland en Gorinchem werden - in navolging van de herdenkingen van 1912 en 1937 - de 'brandpunten' van de evenementen.",male,1637,1712,Gorinchem,Amsterdam
Meindert Hobbema,Q336908,"Meindert Lubbertszoon Hobbema (gedoopt Amsterdam, 31 oktober 1638 - aldaar, 7 december 1709), was een Nederlandse kunstschilder van landschappen.   Hobbema werd op jonge leeftijd wees en groeide op in een weeshuis. Hij kwam op 17-jarige leeftijd in huis bij Jacob van Ruisdael, aanvankelijk om boodschappen te doen, verf te maken en het atelier op orde te houden, maar al snel om het vak te leren. In 1668 trouwde hij met Eeltje Vinck, de huishoudster van de Amsterdamse burgemeester Lambert Reynst. Toen die hem een goed baantje bezorgde als wijnroeier, hield hij vrijwel volledig op met schilderen. Veertig jaar lang peilde hij wijnvaten. Het echtpaar kreeg vijf kinderen, twee stierven op zeer jonge leeftijd. Zijn echtgenote overleed in 1704, wonende in de Konijnenstraat. Hobbema woonde ten tijde van zijn overlijden op de Rozengracht tegenover Rembrandt en werd op 14 december 1709 begraven naast de Westerkerk in Amsterdam. De voorouders van Meindert Lubberts waren afkomstig uit Friesland. De schilder gebruikte de familienaam Hobbema voor het eerst in bijna een eeuw.  Hobbema behoort tot de kunstenaars die niet beïnvloed zijn door Rembrandt. Hobbema's landschappen tonen duidelijk de invloed van zijn leermeester Jacob van Ruisdael, maar zijn meestal wat lichter en minder sober van toon. Zijn werk is niet heroïsch of theatraal; hij combineert boslandschappen met vrolijke reisgezelschappen. De behangselschilder Egbert van Drielst en de Engelse landschapschilder Thomas Gainsborough zijn door hem beïnvloed. Zijn bekendste werk is Het laantje van Middelharnis (1689), dat in 1822 werd verkocht door de gemeente Middelharnis en dat tegenwoordig deel uitmaakt van de verzameling van de National Gallery in Londen. Voor zijn landschappen was in de 18de en 19de eeuw vooral belangstelling in Engeland.  In 2014 werd een schilderij van Hobbema, getiteld Boslandschap met een vrolijk gezelschap in een wagen (ca. 1665) aan het Rijksmuseum in Amsterdam geschonken. Dit schilderij werd opgenomen in de Eregalerij.",male,1638,1709,Amsterdam,Amsterdam
Gerard Hoet,Q978437,"Gerard Hoet (I) (Zaltbommel, 22 augustus 1648 – aldaar, 2 december 1733) was een Nederlands kunstschilder, etser, decoratieschilder en kunsthandelaar. Hij geldt als een belangrijke overgangsfiguur tussen de zeventiende- en de achttiende-eeuwse schilderkunst.  Hoet was de zoon van een glasschilder en leerling van Warnard van Rijsen (1625-1664), een pupil van Cornelis van Poelenburch. In 1672-1673 maakte hij een reis naar Parijs, waar hij een jaar verbleef, om via Brussel naar Holland terug te keren. Hij vestigde zich in Utrecht, waar hij deken van het gilde was en in 1696 samen met Hendrick Schoock een tekenacademie oprichtte. In 1715 verhuisde hij naar Den Haag, waar hij lid werd van de Confrerie Pictura en samen met de Belgische kunstschilder Jacques Ignatius de Roore een handel startte in zeventiende-eeuwse Hollandse schilderijen, een onderneming die later werd voortgezet door zijn zoon Gerard Hoet de Jongere.  Hoet was een typische overgangsfiguur aan het einde van de zeventiende eeuw naar de achttiende eeuw. Herkenbaar is de stijl van Van Poelenburgh en de italianisanten, alsook invloeden van de ""elegante"" Franse schilderkunst. Het meest bekend werd hij met taferelen uit de Bijbel en de klassieke mythologie (waarvan hij veel kennis had), vaak tegen de achtergrond van arcadische landschappen. Ook schilderde hij enkele herbergtaferelen, een beetje in de stijl van David Teniers II (wiens werk hij in Brussel kan hebben gezien), en diverse portretten, onder andere van Utrechtse professoren. Tijdens zijn Utrechtse periode maakte hij verder decoraties in de kastelen van Slangenburg en Voorst. Ook liet hij veel tekeningen en etsen na en illustreerde hij onder andere een prentenbijbel. In 1712 publiceerde hij een tekenleerboek.  Het Rijksmuseum Amsterdam heeft diverse werken van Hoet in zijn collectie. In 2016 verwierf het Haags Historisch Museum, met steun van de Vereniging Rembrandt, Hoets late werk Portret van de familie Quarles.",male,1648,1733,Zaltbommel,The Hague
Sophia Holt,Q2257340,"Sophia Holt (Zwolle, 24 juni 1658 – aldaar, 17 september 1734) was een amateur-kunstschilder in de Gouden Eeuw.  Holt was een dochter van Johan Holt (1609-1682), stadssecretaris van Zwolle, en Vreda Crans. Ze trouwde op 22 december 1689 de predikant Mattheüs Noppen (1648–1733). Het echtpaar kreeg drie kinderen.  Sophia Holt kreeg vier jaar schilderles van de Dordtse schilder Wilhelmus Beurs, samen met haar (achter)nichten Aleida Greve, Anna Cornelia Holt en Cornelia van Marle. Beurs droeg een instructieboek dat hij in 1692 publiceerde aan de dames op. Van Holt is één groot doek bewaard gebleven, het historiestuk De zelfmoord van Cleopatra (1686), dat in het Vrouwenhuis in Zwolle hangt.  Holt overleed op 76-jarige leeftijd en werd begraven in de Grote Kerk in Zwolle.",female,1658,1734,Zwolle,Zwolle
Gillis d'Hondecoeter,Q1922045,"Gillis Claesz. de Hondecoeter of d'Hondecoeter (Mechelen, ca. 1575 – Amsterdam, begraven 17 oktober 1638) was een Zuid-Nederlands kunstschilder. Hij was de vader van de schilder Gijsbert de Hondecoeter, de schoonvader van Jan Baptist Weenix en de grootvader van de succesvolle Jan Weenix en Melchior de Hondecoeter. Het schilderen van pluimvee en wild, door hem gepopulariseerd, werd een geliefd en succesvol onderwerp van zijn schilderende (klein)kinderen.  Gillis de Hondecoeter was de zoon van de Mechelse schilder Nicolaes Jansz. d'Hondecoeter, die uit economische overwegingen en niet om geloofsredenen via Antwerpen naar Delft vluchtte. Nicolaes Jansz. d'Hondecoeter en zijn vrouw Janneken van der Burcht lieten op 13 april 1585 hun dochter Maria in Antwerpen dopen. Maria werd in de Calvinistische periode in het geheim gedoopt. Dit zou betekenen dat Nicolaes Jansz. d'Hondecoeter en/of Janneken van der Burcht in die tijd katholiek waren en dus niet gereformeerd zoals Arnold Houbraken schreef. Gillis trad in Delft in 1602 in het huwelijk met Maaijke Gijsbrechts. Zij kregen tien kinderen. Gillis was bezig met zijn opleiding in Utrecht, maar zou rond 1610 (en niet 1615) naar Amsterdam verhuizen, waar hij zes kinderen liet dopen. In 1622 stierf zijn vrouw.   Hij hertrouwde in 1628 in Amsterdam met de 20-jarige Anna Spiering. Anna Spiering was de dochter van Jacques Spiering en Margriete Henkels. Jan Weenix vertelde Arnold Houbraken dat zijn grootvader een goedgebouwd en welbespraakt man was. Anna Spiering wees het aanzoek van De Hondecoeter af, die zijn vader had gevraagd het woord te doen. Zij bleek wel onder de indruk van Gillis. Uiteindelijk heeft hij haar getrouwd.  Gillis de Hondecoeter woonde op het Singel, tussen de Regulierspoort en de Heiligeweg. Nadat Gillis Claesz. was overleden, hertrouwde weduwe Anna Spiering in 1639 een zoon van Willem Blaeu, uit de familie van cartografen en uitgevers.    Gillis Claesz. de Hondecoeter schilderde fantasielandschappen in de Vlaamse traditie, vaak met een religieus motief. Aanvankelijk in de trant van Gillis van Coninxloo, maar later meer op de manier van Roelant Savery. Het religieuze motief - in de middeleeuwen nog centraal - verschoof steeds meer naar de periferie. Zijn landschappen werden steeds Hollandser van karakter en hij had een grote voorliefde voor het uitbeelden van vogels en dieren. Het schilderen van figuren liet hij over aan de ook uit Mechelen afkomstige David Vinckboons.",male,1575,1638,Antwerp,Amsterdam
Gijsbert d'Hondecoeter,Q1921738,"Gijsbert de Hondecoeter of d'Hondecoeter (Utrecht?, 1604 – Utrecht, 29 augustus 1653) was een Nederlands kunstschilder. Hij was de zoon van Gillis Claesz. de Hondecoeter en vader van de succesvolle Melchior de Hondecoeter.   Gijsbert de Hondecoeter groeide op in Amsterdam. Nadat hij als huwelijkskandidaat was afgewezen door Anna Spierinx verhuisde hij naar Utrecht. Zijn vader, die in 1628 met de veel jongere Anna Spierinx trouwde, had een aantal jaar in die stad gewerkt en kennisgemaakt met de maniëristische richting die de Utrechtse schilders rond 1590 insloegen. In 1627 werd hij lid van het Sint-Lucasgilde in Utrecht, net als zijn neef Gillis uit Delft (?). In 1632 trad hij in het huwelijk met Maria Hulstman. Hij werkte samen met zijn zwager Jan Baptist Weenix, toen die in 1647 uit Rome terugkeerde.   Gijsbert de Hondecoeter schilderde landschappen, vaak gestoffeerd met dieren. Vooral zijn vroege werken staan sterk onder de invloed van de Vlaamse landschapstraditie. Vanaf ca. 1630 ging hij sterk tonalistisch werken, zoals Jan van Goyen in die tijd deed. Ook de werken van Adam Elsheimer hebben, via de Utrechtse graveur Hendrick Goudt, invloed gehad op zijn werk. Zijn werk is zelden dramatisch.",male,1604,1653,Utrecht,Utrecht
Melchior d'Hondecoeter,Q304411,"Melchior d'Hondecoeter of de Hondecoeter (Utrecht, 1635/1636 – Amsterdam, 3 april 1695) was een Nederlands kunstschilder die zich destijds in de markt van stillevens en de natuurschildering als een van de eersten toelegde op het schilderen van allerhande vogels in een uitgekiende soms dramatische compositie.  Melchior was de zoon van Gijsbert de Hondecoeter, de kleinzoon van Gillis Claesz. de Hondecoeter, en een volle neef van Jan Weenix. D'Hondecoeter werd opgeleid door zijn vader en na diens dood in 1653 door zijn oom Jan Baptist Weenix. Hij verdiepte zich graag in religie en in de Bijbel. Arnold Houbraken, die het verhaal had opgetekend uit de mond van Jan Weenix, vermeldt dat D'Hondecoeter voor het slapen gaan altijd hardop bad. Dat deed hij met zoveel ernst en vervoering dat zijn moeder en oom in stilte aan de trap stonden te luisteren en twijfelden of hij nu tot schilder of tot predikant moest worden opgeleid.  D'Hondecoeter werd in 1659 in Den Haag, waar zijn zuster woonde, lid van het pas opgerichte schildersgenootschap  Pictura. In 1663 verhuisde hij naar Amsterdam, waar hij trouwde met Susanna Tradel, eveneens van Vlaamse afkomst. Hij woonde achtereenvolgens op de Lauriergracht, niet ver van Gerrit van Uylenburgh en Joan Huydecoper van Maarsseveen en op de Prinsengracht bij de Westermarkt. D'Hondecoeter had een bedilzuchtige vrouw; vanwege haar inwonende zusters bracht hij veel tijd door in de herberg en in zijn tuin aan de Lijnbaansgracht. In 1686 kocht hij een hofstede in Vreeland van een goudleermaker uit Amsterdam.  D'Hondecoeter stierf in het huis van zijn enige dochter Isabel in de Warmoesstraat en werd begraven in de Westerkerk. Zijn schoonzoon weigerde de erfenis, vanwege de mogelijke schulden. De inventaris bevatte bijna vijftig schilderijen, waaronder twee portretten door Michiel Angelo en zeven werken van Frans Snyders.  Houbraken vermeldt het verhaal dat D'Hondecoeter een haan had afgericht om die in verschillende poses te kunnen schilderen, maar volgens de boedelinventaris vermeld in  Bredius gebruikte hij een galgh om vogels op te zetten.  Op 3 april 1695 overleed Melchior d’Hondecoeter op 59-jarige leeftijd. Houbraken vermeldt hierover dat dichter Wilhem vander Hoeven een lofdicht over hem schreef waarin hij de titel ‘Fenix in zyn Konst' kreeg.  D'Hondecoeter specialiseerde zich in afbeeldingen van vogels, vooral pluimvee en exotische vogels, afkomstig uit verschillende werelddelen, zittend op een balustrade of lopend in een park. Zijn werk heeft geen politieke of moralistische betekenis. Het creëren van een levendige voorstelling was mogelijk zijn belangrijkste doelstelling. Zijn werk is decoratief van aard: niet alleen ganzen (rotgans, nijlgans en roodhalsgans), kramsvogel, patrijs, duif, eend, grauwe gans, ekster, pauw, maar ook de Afrikaanse kroonkraan, Aziatische saruskraanvogel, Australische kleine geelkuifkaketoe en zelfs een Indonesische vrouwenlori en twee grijskopagapornissen uit Madagaskar bevolken Hondecoeters schilderijen. Een smient en een wintertaling, typische soorten voor de jacht, ontbreken niet in zijn werk. De kunstenaar kiest steevast voor mannetjesdieren met het mooiste verenkleed. Zijn zogenoemde vogelconcerten zijn in de trant van Snyders en Jan Brueghel de Oude. D'Hondecoeter was een succesvolle schilder, maar had ook te maken met concurrentie van zijn neef Jan Weenix, Dirk Valkenburg en Adriaen van Olen. Hij werkte vaak samen met andere schilders, die dan bijvoorbeeld planten aan zijn dierportretten toevoegden.  Zijn de taferelen aanvankelijk vrij eenvoudig, vanaf circa 1670 krijgt de entourage meer aandacht: omringende architectuur en parkaanleg. Om de grandeur te verhogen kiest d'Hondecoeter in plaats van een boerenerf als achtergrond, italianiserende bouwkundige onderdelen en vergezichten. Hij schilderde behalve kleine kabinetstukjes, ook grote wanddecoraties, onder andere in opdracht van Willem III voor Huis Honselaarsdijk en voor jachtslot Soestdijk in samenwerking met Gerard de Lairesse, en voor het Loo.  De grootste D'Hondecoeter-tentoonstelling tot nu toe werd gehouden in Berlijn in de Neue Nationalgalerie in 2010, waar als onderdeel van Willem de Rooij's installatie 'Intolerance' 18 werken werden getoond. Op de tijdelijke tentoonstelling tijdens de zomer van 2017 in het kasteel d'Ursel in Hingene met als thema The Beauty of the Beast was het werk Vogels (olieverf op doek), in bruikleen van het Koninklijk Museum voor Schone Kunsten van Antwerpen, te zien.",male,1636,1695,Utrecht,Amsterdam
