Name,Wikidata Identifier,Wikipedia Article,Gender,Place of Birth,Place of Death
Rachel Ruysch,Q234385,"Rachel Ruysch (3 June 1664 – 12 October 1750) was a Dutch still-life painter from the Dutch Republic. She specialized in flowers, inventing her own style and achieving international fame in her lifetime. Due to a long and successful career that spanned over six decades, she became the best documented female painter of the Dutch Golden Age.  Rachel Ruysch was born on 3 June 1664 in The Hague to the scientist Frederik Ruysch and Maria Post, the daughter of the architect Pieter Post. Her father was also a professor of anatomy and botany and an amateur painter. He had a vast collection of animal skeletons, and mineral and botany samples which Rachel used to practice her drawing skills. At a young age she began to paint the flowers and insects of her father's collection in the popular manner of Otto Marseus van Schrieck. Working from these samples Rachel matched her father's ability to depict nature with great accuracy. Rachel and her sister Anna Ruysch learned to draw and paint within their father's extensive scientific collections, which provided abundant botanical and zoological specimens for study. Both sisters pursued painting careers, although Anna appears to have stopped painting after her marriage, while Rachel continued professionally for more than six decades.   In 1679, at age fifteen, Ruysch was apprenticed to Willem van Aelst, a prominent flower painter in Amsterdam. His studio in Amsterdam looked out over the studio of the flower painter Maria van Oosterwijck. Ruysch studied with van Aelst until his death in 1683. Besides painting technique he taught her how to arrange a bouquet in a vase so it would look spontaneous and less formalized. This technique produced a more realistic and three-dimensional effect in her paintings. By the time Ruysch was eighteen she was producing and selling independently signed works. She would also have known and consorted with the flower painters Jan and Maria Moninckx, Alida Withoos, and Johanna Helena Herolt-Graff, who all were about her age and who worked for the horticulturist Agnes Block and who, like her father, also worked with the plant collectors Jan and Caspar Commelin.  In 1693 she married the Amsterdam portrait painter Juriaen Pool, with whom she had ten children. Throughout her marriage and adult life she continued to paint and produce commissions for an international circle of patrons. Other women at this time were expected to participate in art forms more traditionally practiced by women, such as sewing and spinning. Ruysch continued to work as a painter throughout her marriage, supported by the strong demand for her flower pieces and the high prices they commanded. Her paintings often earned more than the portraits produced by her husband, Juriaen Pool, and her established reputation enabled her to maintain a professional career alongside raising a family.   Ruysch enjoyed great fame within her lifetime, and post-mortem alike. In her lifetime her paintings were sold for prices as high as 750–1200 guilders. In comparison, Rembrandt rarely received more than 500 guilders for a painting in his lifetime.  She died in Amsterdam on 12 October 1750, and remains a widely respected artist.  It is unknown whether Ruysch was a member of the Amsterdam Guild of Saint Luke, but early signed works by her in the 1680s show the influence of Otto Marseus van Schrieck. By 1699 she and her family had moved to The Hague, where she was offered membership in the Confrerie Pictura as their first female member. In 1701 she and her husband became members of The Hague Painter's Guild. In 1708, Ruysch was invited to work for the court in Düsseldorf and serve as court painter to Johann Wilhelm, Elector Palatine. She obtained a contract for works painted at home that she periodically brought to Düsseldorf. She continued working for him and his wife from 1708 until the prince's death in 1716.  Art historians consider Ruysch to be one of the most talented still life artists of either sex. By the time of her death at age 86 she had produced hundreds of paintings, of which more than 250 have been documented or are attributed to her. Her dated works establish that she painted from the age of 15 until she was 83, a few years before her death. Historians are able to establish this with certainty because she included her age when signing her paintings.  Ruysch had a very good understanding of drawing and the techniques of earlier traditions. This knowledge improved her painting abilities.In contrast to many late seventeenth-century Dutch still-life painters, who often favored more restrained and scientifically oriented botanical compositions, Ruysch developed a more dynamic and asymmetrical approach. Her bouquets incorporate twisting stems, suspended blossoms, and lively diagonals that break from the more diagrammatic conventions of botanical illustration.  Every petal was created painstakingly with delicate brushwork. The background of Ruysch's paintings are usually dark which was the fashion for flower painting in the second half of the 17th century. Her asymmetrical compositions with drooping flowers and wild stems created paintings that seemed to possess a great energy about them.  In her early work Ruysch painted a large number of forest floor pictures that feature small animals, reptiles, butterflies, and fungi. Ruysch’s teacher Willem van Aelst introduced her to looser and more spontaneous compositional structures, but she later refined and popularized this manner. Her mature bouquets, with their elaborate layering and rhythmic movement, helped define the evolving taste for more dynamic floral still lifes in the early eighteenth century  She later focused almost exclusively on complex floral bouquets, combining the minute scientific observation learned from her father’s collections with imagined arrangements that could not exist in nature, producing an aesthetic that blended naturalism with invention   The symbolism of each flower was elaborately developed in the 17th century, but most of this concerned the introduction of a single flower into a Vanitas piece. Apart from Jan van Huysum, no 18th-century flower painter matched the skill of Rachel Ruysch.  In 1999 a painting by Ruysch was discovered in a farmhouse in Normandy and was sold at auction for 2.9 million French francs, about US$508,000.  In the twenty-first century, Ruysch’s work has received renewed scholarly and curatorial attention. The exhibition ''Rachel Ruysch: Nature into Art'' (2024-25), organized by the Alte Pinakothek, the Toledo Museum of Art, and the Museum of Fine Arts, Boston, offered the first large-scale international reevaluation of her oeuvre. The accompanying catalogue received the 2024 George Wittenborn Memorial Book Award.   In March 2021, Ruysch's work was added to the ""Gallery of Honour"" at the Rijksmuseum. Ruysch, Gesina ter Borch, and Judith Leyster are the first women to be included in the gallery.  In 2025, the Toledo Museum of Art, Alte Pinakothek, Munich and the Museum of Fine Arts, Boston organized the exhibition Rachel Ruysch: Nature into Art.  It was held at the Alte Pinakothek November 26, 2024 – March 16, 2025; Toledo Museum April 12 – July 27, 2025, Museum of Fine Arts (titled Rachel Ruysch: Artist, Naturalist, and Pioneer), August 23–December 7, 2025. The exhibition was accompanied with a catalog Rachel Ruysch Nature into Art, by Robert Schindler, Bernd Ebert, Anna C. Knaap, et al.  The catalog won the 2024 George Wittenborn Memorial Book Award.  ISBN: 978-0-87846-899-7  Many of the plants that appear in Ruysch’s still lifes reached the Dutch Republic through global trade networks that connected Europe to territories in the Americas, Africa, and Asia. Botanical species from regions such as Suriname and the Cape Colony were collected, transported, and cultivated so that they could be studied or drawn once they arrived in Amsterdam. These plants were often grown in colonial botanical gardens, and recent scholarship has noted that the labor of enslaved workers played an central role in maintaining these sites and supporting the circulation of rare specimens.  The availability of imported plants shaped the botanical variety seen in Ruysch’s paintings. Amsterdam’s position as a center of global trade created conditions in which artists had access to species from many parts of the world, which were studied in scientific collections and used as models for naturalistic still lifes.",female,The Hague,Amsterdam
Pieter van Schaeyenborgh,Q46998219,"Pieter van Schaeyenborgh (also van Schayenburch, and several other spellings; 1600, Antwerp – 1657, Alkmaar) was a Flemish painter, who worked in the Dutch Republic in the latter part of his career.  He is known for his still lifes of fish.  Few details of his life and career are known. He was born to a family of fishmongers in Antwerp. He has been identified with the Peter Schaeyenborch who was in 1610 registered with the painters' guild (the Guild of Saint Luke) in Antwerp (Antwerpse Sint-Lucasgilde [nl]) as an apprentice of Daniël Christiaenssen.  In 1635, he was registered with the painters' guild in Alkmaar, and was active there until his death. In 1656 and 1657, the executors of the estate of Johan van Nordingen de Jonge (i.e. 'the Younger'; 1625/26-1656) paid him 48 and 56 guilders respectively for two paintings commissioned before van Nordingen's death. He also painted one of the two coats of arms for van Nordingen's grave; he and the other painter, Laurens van Oosthoorn, received 36 guilders each.[a] He taught the marine painter Jan Theunisz Blanckerhoff (1628–1669).  Van Schaeyenborgh, Pieter de Putter and Jan Dirven were among the earliest Netherlandish painters to specialise in still lifes of fish as the main subjects of paintings rather than as incidental features in larger compositions.  He painted still lifes of fish, in oils, said to be very well executed. In 1914, some of his paintings were held on loan by the Stedelijk Museum Alkmaar. Until 1974, that museum held several of his paintings on loan from armenhuis van Nordingen; presumably Huis van Achten [nl] in Alkmaar, which had been founded using a legacy from van Nordingen. As of 2019, the museum displays his Visstilleven met gezicht op Egmond ('Still life of fish with view of Egmond') in its permanent collection.  In 2019, a group of van Schaeyenborgh's paintings was exhibited at the Stedelijk Museum Alkmaar. The catalogue praised his depictions of fish which look as if they have just been caught, with beautiful scales and water droplets you can almost touch.",male,,
Abraham Smit,Q109973951,"Abraham Smit or de Smet (c. 1621 – (buried 30 August 1672)) was a Dutch Golden Age painter.  He was born to Ariaentje van Eck in Lokeren, Spanish Netherlands, around 1621. He moved to Amsterdam, Dutch Republic, where he was active at least from 1649 to 1672. Smit married Trijntje Cornelis (1627 – 1653) in Amsterdam on 2 October 1649. After her death in 1653 he remarried to Anna Lubbers Baey (1622 – 1688), who survived him.  His children, Pieter (Smit, de Smit) and Jacobus also became painters. Jacobus worked under commission for Pieter de Graeff from 1683 until 1686.  He and his sons were Roman Catholics.",male,Lokeren,Amsterdam
Adriana Spilberg,Q512339,"Adriana Spilberg (1652–1700) was a Dutch Golden Age painter active at the court of Johann Wilhelm, Elector Palatine.  She was born in Amsterdam. According to Houbraken her father Johannes Spilberg taught her to paint in oils, crayon and pastels and she became quite famous in Amsterdam. Spilberg kept her in Amsterdam while he was working for Johann Wilhelm, Elector Palatine. When his patron married Archduchess Maria Anna Josepha of Austria, she asked Spilberg to bring his family, including his famous daughter, to court, which he did, and Adriana became court painter for the archduchess in 1681 in Düsseldorf. Adriana married the painter Wilhelm Breekvelt there and had three sons by him, but he died in 1687. In 1689 her patroness died and Johann Wilhelm remarried Anna Maria Luisa de' Medici. In 1690 her father died, and he was replaced as court painter by Eglon van der Neer, whom she married after 11 years of widowhood in 1697.  According to the RKD she was the pupil and dochter of Johannes Spilberg, wife of Willem Breekvelt after 1687, and after 1697 the wife of Eglon van der Neer. She died in 1700 in Düsseldorf.",female,Amsterdam,Düsseldorf
Sampson Strong,Q7410250,"Sampson Strong (c.1550–1611) was a Dutch portrait painter. He was a resident portrait painter at Oxford University and painted founder's portraits for All Souls, New and Christ Church colleges. He was followed by Richard Greenway. He was employed by the governors of Christ's Hospital, Abingdon to decorate the hall with portraits of founders, benefactors and former governors.",male,,Oxford
Emanuel Sweert,Q1334797,"Emanuel Sweerts (1552–1612) was a Dutch painter and nurseryman noted for his publication in 1612 at Frankfurt-am-Main of Florilegium Amplissimum et Selectissimum.  Sweerts was born at Zevenbergen and lived in a period when new plants from across the world were being introduced to Europe via Dutch, English and French ships. To meet the burgeoning interest in plants by the public, nurseries were being established by wealthy merchants in order to meet the demand. Botanical illustration suddenly found a new outlet in the production of nursery catalogues. Sweerts prepared his Florilegium as a guide of his available stock for the Frankfurt Fair of 1612. The plates, depicting some 560 bulbs and flowers, were from the Johann Theodore de Bry Florilegium which in turn was based on that by Pierre Vallet. His attractively depicted bulbs sparked their popularity, leading to 6 editions of the work between 1612 and 1647, and a demand which would later result in ""Tulipomania"". At the time of the fair Sweerts was in the employ of Emperor Rudolf II as head of his gardens in Vienna. He borrowed freely from plates that had been published before, so that many of those that appeared in the Florilegium had been cultivated in the gardens of King Henry IV of France at the Louvre. He died in Amsterdam.    This article about a Dutch botanist is a stub. You can help Wikipedia by expanding it.",male,Zevenbergen,Amsterdam
Augustinus Terwesten,Q2234746,"Augustinus Terwesten or Augustinus Terwesten the Elder (4 May 1649 – 21 January 1711) was a Dutch painter, draughtsman, printmaker and art educator. He specialized in portraits, architectural and historical themes. He was known in his time for his decorative paintings in luxurious residences many of which have since disappeared. He left a great many preparatory drawings. He was a co-founder of The Hague Drawing Academy. He worked for a long time in Berlin where he was court painter to Frederick William I of Prussia and one of the cofounders of the Prussian Academy of Arts.  Terwesten was born in The Hague of parents of German origin. His father, Hans Jacob Terwesten or Zurwesten, was originally from Augsburg while his mother Catharina came from Berlin. They had married in The Hague in 1648, where Hans Jacob worked as a goldsmith. The marriage produced ten children, of whom three sons and two daughters survived. Augustinus was the oldest son. Ezaias, the middle son of the family, also worked temporarily in his father's workshop and settled later in Rome as a flower and fruit painter. The youngest brother Mattheus later followed in Augustinus footsteps and often worked together with him on commissions.  In his father's workshop Augustinus learned the art of engraving, goldsmithing and wax modelling. This was followed by two years of apprenticeship with the history painter Nicolaes Willingh, who became court painter to the Great Elector in Berlin in 1667. He then took lessons from Willem Doudyns for two years before setting off on a Grand Tour through Germany to Italy in 1672, where he spent three years.  In Rome he became a member of the painters' circle known as the Bentvueghels, where he earned the nickname ""Patrysvogel"", or partridge, after the story of Perdix by Ovid. He went back to the Hague via France and England, and was gone for a total of 6 years. In 1678, he set up a workshop in the Hague specialized in wall and ceiling decorations. 1682–1683 he helped to set up the Drawing Academy in the Hague set up by the ""Confrerie Pictura"".  In 1692 he became court painter to the son of his former royal patron, Frederick I of Prussia, in Berlin, and talked him into sponsoring an Akademie der Künste. After overseeing the building of this academy which was completed in 1697, he became professor there and lived there until his death in 1711. He taught both of his brothers Elias and Mattheus Terwesten, but also the painters Frans Beeldemaker, Nikolaus Bruno Belau, Andries Bertoen, Jacobus Bisschop, Nicolaes Hooft, and Cornelis Michiarus.  He is remembered today for his historical allegories and portraits.  Three of his paintings, including 'Hera, Queen of the Heavens', are on display in the Crush Room at the Royal Opera House, Covent Garden, London.",male,The Hague,Berlin
Apollonia van Veen,Q19744519,"Apollonia van Veen (died 1635) was a Dutch pastellist.  Possibly born in the Hague, van Veen was the daughter of painter Pieter van Veen. Her brothers Symon and Jacobus were pastellists as well; all three were known to be portraitists. She died in Goes.",female,The Hague,Goes
Willem van de Velde the Elder,Q722912,"Willem van de Velde the Elder (1610/11 – 13 December 1693) was a Dutch Golden Age seascape painter, who produced many precise drawings of ships and ink paintings of fleets, but later learned to use oil paints like his son.  Willem van de Velde, known as the Elder, a marine draughtsman and painter, was born in Leiden, the son of a Flemish skipper, Willem Willemsz. van de Velde, and is commonly said to have been bred to the sea. He married Judith Adriaens van Leeuwen in Leiden in 1631.  His three known legitimate children were named Magdalena, born 1632; Willem, known as the Younger, also a marine painter, born 1633 in Leiden; and Adriaen, a landscape painter, baptized in 1636 in Amsterdam. Meanwhile the family lived Korte Koningstraat, close to the harbour, an area known as the Lastage.  His marriage was stormy, at least in its later years. David Cordingly relates that Willem the Elder fathered two children out of wedlock in 1653, one “by his maidservant, and the other by her friend. Nine years later the Elder and his wife went through a legal separation, ‘on account of legal disputes and the most violent quarrels’. The immediate cause of the dispute was his affair with a married woman.” Michael S. Robinson noted that  “on 17/27 July 1662, he and his wife agreed to part. A condition of the separation was that the Elder could recover from his son Adriaen ‘two royal gifts’, presumably gifts from Charles II for work done in England.”  Cordingly’s account further relates that the dispute was still continuing after another ten years, since “in the autumn of 1672 Judith complained to the woman’s husband.” Robinson adds that by 1674 the couple “must have been reconciled”, for at a chance meeting with Pieter Blaeu in Amsterdam in July the Elder explained that he was only visiting for a few days “in order to fetch his wife”.  His son, Adriaen, had died in Amsterdam early 1672, and Willem the Elder was also fetching his grandson, similarly named Adriaen, who was then aged two.  After his move to England, the exact date of which is uncertain, but reportedly at the end of 1672 or beginning of 1673, he is said to have lived with his family in East Lane, Greenwich, and to have used the Queen's House, now part of the National Maritime Museum in Greenwich, as a studio. Following the accession of William III and Mary II as King and Queen of England, it appears that this facility was no longer provided, and by 1691 he was living in Sackville Street, now close to Piccadilly Circus. He died in London, and was buried in St James's Church, Piccadilly, at the south end of the street. A memorial to him and his son lies with in the church.  He was the official artist of the Dutch fleet for a period, being present at the Four Days Battle, 1–4 June 1666, and the St James's Day Battle, 25 July 1666, to make sketches. In his work on the biographies of artists, Arnold Houbraken quotes Gerard Brandt's biography of Admiral Michiel de Ruyter, relating the anecdote where Willem van de Velde asked Admiral de Ruyter permission to have a galley row him around for a good view of the proceedings on the evening of the Four Days battle in 1666. He wasn't the only artist to paint the scenes of this battle, his son, Ludolf Bakhuysen and Pieter Cornelisz van Soest also made paintings of it. This act later was the reason that van Velde gained his marine commission in London. The date, 1672, commonly given for his entry into the service of Charles II of England, was at a time when the Dutch Republic was at war with England (Third Anglo-Dutch War).  According to the inventory Bartholomeus van der Helst owned or stored many paintings by Van de Velde. They lived close to each other (near Nieuwmarkt) and must have been friends.",male,Leiden,Greenwich
Jan Vermeulen,Q17285665,"Johannes van der Molen or Johannes Jan Vermeulen was a still-life painter during the Dutch Golden Age. He was active in Haarlem from 1638 to 1674. His specialty  was the Vanitas, a style of painting meant to symbolize the transience of life. Many of them feature books.  Nothing is known about his artistic training. He is documented for the first time in 1638 in Haarlem. In 1651, he is on an archival list of the Guild of Saint Luke, as a member and a citizen of Haarlem, under the name Johannes van der Meulen.  In 1674, he is recorded in church documents as having been married for the second time, after which no further mention of him has yet been discovered.  Very few works by this artist are known with any certainty. In addition to books, they include scientific objects and musical instruments, with a limited color range.  Paintings with the monogram IVM, dating from 1661 may be his, although some sources say those works belong to an Isaac Vermeulen.  Some of his works may be seen at the Statens Museum for Kunst, Mauritshuis, Schloss Johannisburg and the Musée des beaux-arts de Nantes. Others are in private collections.  The painting Still life with an open book is part of an Old Masters auction with Sotheby's London 2020 May 7.    Media related to Jan Vermeulen at Wikimedia Commons",male,Haarlem,
Justus de Verwer,Q1714560,"Justus de Verwer (Amsterdam, c. 1626 - Amsterdam, 12 November 1689) was a Dutch painter and illustrator from the period of the Golden Age.  De Verwer was the son and pupil of Abraham de Verwer and followed him in style and theme. He produced primarily marine art. From 1651 to 1656 he was employed by the Dutch East India Company and traveled to the East Indies. Then he settled in Amsterdam, where he married Fijtje Caspers in 1659.",male,Amsterdam,Amsterdam
Jan Vincentsz van der Vinne,Q6150132,"Jan Vincentsz van der Vinne or Jan de Nageoires (1663 – 1721) was an 18th-century painter from the Dutch Republic.  He was born in 1663, in Haarlem. According to Houbraken he was one of the three sons of Vincent van der Vinne, ""the one working more, and the other working less"", in the arts.  According to the RKD, except for a short stay in England in the years 1686-1688, he worked in Haarlem, like his brothers, the painters Laurens and Isaac. He is known for Italianate landscapes and scenes with horsemen. The painter Jan Mensing was his pupil.  He died in 1721, in Haarlem.",male,Haarlem,Haarlem
Laurens van der Vinne,Q2440566,"Laurens Vincentsz van der Vinne (1658–1729) was an 18th-century painter from the Dutch Republic.  Van der Vinne was born and died in Haarlem.  According to Houbraken, he was the oldest and artistically most gifted son of the painter Vincent van der Vinne. Laurens helped his father draw up the list of 173 members of the Haarlem Guild of St. Luke that Vincent van der Vinne produced in 1702. He learned to paint from his father, and his paintings were similar, but he was especially good at painting flower still lifes, many of which he painted for Philips de Flines, who kept a garden with rare plants from the East and West Indies.  According to the RKD he learned to paint from his father, and from the glass painter Pieter Berchem. He became a member of the Haarlem Guild of St. Luke in 1685, and was dean in 1722 and 1728. He is known for landscapes and flower still lifes. His brothers Jan and Isaac, and his three sons Jacob, Jan Laurensz, and Vincent II also were painters.  He had a thread and ribbon factory on the Kleine Houtstraat 77 called the ""Vossekop"" (fox's head).",male,Haarlem,Haarlem
Wigerus Vitringa,Q2741527,"Wigerus Vitringa (October 8, 1657 – January 18, 1725), was a Dutch seascape painter.  Vitringa was born in Leeuwarden.  According to the RKD he was the son of a prominent lawyer who could financially permit himself a career in the arts. He was the pupil of Richard Brakenburg and possibly also the pupil of Ludolf Bakhuizen, whose style he followed. He moved to Alkmaar in the 1680s where his eyesight slowly deteriorated. He became a member of the Guild of St. Luke there in 1696. In 1708 he returned to Friesland where he became a teacher. His most notable pupil was Tako Hajo Jelgersma.  Vitringa died in Wirdum.",male,Leeuwarden,Wirdum
Paul Vredeman de Vries,Q7154174,"Paul Vredeman de Vries (Antwerp, 1567 – Amsterdam, 1617), was a Flemish painter and draughtsman who specialised in architectural paintings and, in particular, church interiors.  He was a son of the Dutch-born architect, painter and engineer Hans Vredeman de Vries who at the time was working in the Southern Netherlands.  In 1564 his father had fled to Antwerp from Mechelen, where he had been living in order to escape the Inquisition.  He trained with his father who  was as a painter interested in perspective and therefore painted mainly architectural paintings.  He is known to have collaborated with his father in the completion of large assignments. He worked from 1592 to 1595 in Danzig where his father was employed in the design of defensive works.  He worked from 1596 to 1599 in Prague where he painted the ceilings and the reception rooms of Emperor Rudolf II's castle.  He was active in Amsterdam from 1599 to 1617.  There is a record of a notice of marriage between him and Mayken Godelet issued in Amsterdam and dated 24 April 1601. In 1649 she was buried in Nieuwe Kerk. The year her husband died is uncertain; it could be 1630 when his designs for furniture were published or later, but before 1636.  He was the master of Hendrick Aerts and Isaak van den Blocke, both artists of Flemish descent who were living in Gdansk.  His older brother Salomon Vredeman de Vries (1556–1604) was also an architectural draughtsmen and painter who collaborated with him and his father.  Vredeman de Vries specialised in architectural paintings and, in particular, imaginary church interiors and palaces. His paintings show a meticulous attention to perspective. He developed an original poetic vision in his mature years. The facades of palaces that are richly ornate and the colonnades of which open onto flowered courtyards with fountains and sculptures provide the setting for scenes from ancient history or sacred history. The rigour of the geometric composition, which incorporates the principles of the contemporary treatises on perspective, is tempered by an atmospheric rendering of the light with its silvery shimmers. The interiors are a reconstruction of the interior decoration of his day such as chairs trimmed with leather, embossed leather hangings and canopies with valances.  He collaborated with his father on large assignments as well as with other artists such as Frans Francken the Younger, Jan Brueghel the Elder, Dirck de Quade van Ravesteyn (while in Prague), Pieter-Franz Isaaksz and Adriaen van Nieulandt (in Amsterdam).  Vredeman de Vries was also active as an engraver. He contributed some of the 31 engravings to his father's architectural treatise entitled Architectura which was published in 1606. He further made the engravings for a series entitled Verscheyden Schrynwerck als Portalen, Kleerkassen, Buffeten (Various woodwork for porches, wardrobes and cupboards), published in 1630. These designs for beds, buffets, cabinets and interior porches in Louis XIII-style would influence Dutch interior design well into the second half of the 17th century.",male,Antwerp,Amsterdam
Thomas van der Wilt,Q7795547,"Thomas van der Wilt (1659–1733) was an 18th-century painter from the Dutch Republic.  Van der Wilt was born in Piershil.  Houbraken mentioned him as one of the pupils of Jan Verkolje. He became a master portrait painter in Delft, where he died.  According to the RKD he became the teacher of Jacob Campo Weyerman. He is known for portraits and historical allegories.",male,Piershil,Delft
Maria Withoos,Q2602174,"Maria Withoos (1663–after 1699) was a Dutch Golden Age painter and the daughter of Mathias Withoos and sister of the painters Alida, Johannes, Frans and Pieter.  Maria Withoos was born in Amersfoort.  According to Houbraken Mathias had three sons and four daughters but mentions only the sons and Alida by name. Alida was still alive when Houbraken was writing and gave him the information he used for his sketch on her father and the rest of the family. Maria was baptized like her other brothers and sisters in Amersfoort and moved to Hoorn with her father in the rampjaar 1672.  According to the RKD one painting has been attributed to her that is now considered Alida's. She married twice in Hoorn; first to Johannes Brickely and in 1698 to Dirck Knijp. She had one son by each of her husbands. Her works may be mixed up with her father's work, since they share the same first initial.  She died in Hoorn; the date of her death is uncertain.",female,Amersfoort,The Hague
Catarina Ykens,Q12156468,"Catarina or Catharina Ykens or Catarina Ykens (II) (1659–1737 or later) was a Flemish painter. The few surviving paintings attributed to her are still lifes but she is also believed to have painted history paintings with biblical themes.  She was born in Antwerp as the daughter of the painter Johannes Ykens and his second wife Barbara Brekevelt and was baptized on 24 February 1659. She was the sister of Peter Ykens, a history and portrait painter. She apprenticed under her father and became a master in the Antwerp Guild of Saint Luke in the guild year 1687–1688.  The record of the Guild mentions that she was a geestelycke dochter (spiritual daughter), a term which refers to an unmarried Catholic woman who took a vow of chastity before a priest, usually obeying, not bound by vows, a superior, also known as her confessor.  It is not clear when she died. A Nativity in Aix-en-Provence is signed and dated 1737. This is her latest known dated work.  She is known for her flower garland paintings, vanitas still lifes as well as history paintings with biblical themes. The few surviving paintings attributed to her are still lifes. Her works are sometimes confused with the works of another Antwerp painter of the same name known as Catarina Ykens (I) (née Floquet), born between 1608 and 1618 in Antwerp, who was the wife of the still life painter Frans Ykens.  She painted garland paintings. Garland paintings are a special type of still life developed in Antwerp by Jan Brueghel the Elder in collaboration with the Italian cardinal Federico Borromeo at the beginning of the 17th century. Other artists involved in the early development of the genre included Hendrick van Balen, Andries Daniels, Peter Paul Rubens and Daniel Seghers. The genre was initially connected to the visual imagery of the Catholic Counter-Reformation movement. It was further inspired by the cult of veneration and devotion to Mary prevalent at the Habsburg court (then the rulers over the Habsburg Netherlands) and in Antwerp generally.  Garland paintings typically show a flower garland around a devotional image, portrait or other religious symbol (such as the host). By the second half of the 17th century secular themes such as portraits and mythological subjects also decorated the central part of the many paintings made in this fashion. Two examples of such later development are two signed garland paintings by Catarina Ykens in the Museo del Prado, Madrid: the Flower garland with landscape and the Landscape inside a garland. These works are usually attributed to Catarina (II) but may also have been painted by Catarina (I). The two compositions depict a garland of flowers and leaves surrounding a landscape. In each of these works, the landscape was not painted by Catherine Ykens herself, but the identity of their author(s) is not known.  She is also known for a vanitas still life, a genre of still life which offers a reflection on the meaninglessness of earthly life and the transient nature of all earthly goods and pursuits. This meaning is conveyed in these still lifes through the use of stock symbols, which reference the transience of things and, in particular, the futility of earthly wealth: a skull, soap bubbles, candles, empty glasses, wilting flowers, insects, smoke, watches, mirrors, books, hourglasses and musical instruments, various expensive or exclusive objects such as jewellery and rare shells. The term vanitas is derived from the famous line 'Vanitas, Vanitas. Et omnia Vanitas', in the book of the Ecclesiastes in the bible, which in the King James Version is translated as ""Vanity of vanities, all is vanity"".  The worldview behind vanitas paintings was a Christian understanding of the world as a temporary place of fleeting pleasures and sorrows from which mankind could only escape through the sacrifice and resurrection of Christ. A wheat stalk symbolises, for instance, the resurrection of Christ on which, according to the Christian faith, the salvation of each human being depends. While most of these symbols reference earthly existence (books, scientific instruments, etc.) or the transience of life and death (skulls, soap bubbles) some symbols used in the vanitas paintings carry a dual meaning: the rose refers as much to the brevity of life as it is a symbol of the resurrection of Christ and thus eternal life. Catarina's composition Vanitas bust of a lady with a crown of flowers on a ledge (signed and dated on the ledge: Catharina van ÿkens . filia Devota f. 1688, at Sotheby's London of 6 July 2017, lot 115) contains the typical symbols present in vanitas paintings such as a skull and wilting flowers, but has a distinctive macabre aspect by putting the skull crowned with a wig on a bust and having a bird pick at some berries on a branch pinned to the front of the bust.",female,Antwerp,
